CustomerID;Recency;InvoiceNo;TotalPrice;Quantity; UnitPrice ;Country;Churn;Predicted_Churn
123480;221;1;32740;269; $1.000,00 ;11;1;1
123500;312;1;20408;197; $10.670.588.235.294.100,00 ;22;1;1
123520;275;3;77753;156; $23.777.391.304.347.800,00 ;22;1;1
123550;97;1;45940;240; $42.038.461.538.461.500,00 ;2;1;1
123560;129;1;48146;370; $2.428.095.238.095.240,00 ;24;1;1
123580;4;2;93046;248; $41.057.894.736.842.100,00 ;1;0;0
123620;31;5;188100;1077; $2.426.818.181.818.180,00 ;3;0;0
123630;37;1;29910;282; $228.125,00 ;32;0;0
123640;302;1;29547;502; $7.188.888.888.888.890,00 ;3;1;1
123670;213;1;15108;173; $1.580,00 ;8;1;1
123700;69;1;93839;1005; $25.247.916.666.666.700,00 ;6;0;0
123710;31;1;142590;582; $3.139.193.548.387.100,00 ;28;0;0
123720;36;1;48006;368; $1.728.421.052.631.580,00 ;8;0;0
123730;343;1;32500;197; $17.535.714.285.714.300,00 ;1;1;1
123750;305;1;19070;87; $2.501.818.181.818.180,00 ;11;1;1
123800;158;1;53465;293; $20.544.444.444.444.400,00 ;3;1;1
123810;1;5;131035;808; $28.408.045.977.011.500,00 ;22;0;0
123830;10;2;53236;610; $15.313.888.888.888.900,00 ;3;0;0
123840;30;2;37944;126; $45.225.925.925.925.900,00 ;28;0;0
123860;193;2;40190;354; $2.391,00 ;0;1;1
123880;99;2;33495;127; $306.875,00 ;0;1;1
123930;40;2;84630;462; $21.755.555.555.555.600,00 ;0;0;0
123940;154;2;108240;819; $21.607.407.407.407.400,00 ;3;1;1
123950;6;7;156823;1309; $25.138.947.368.421.100,00 ;3;0;0
123970;244;1;106009;559; $29.823.214.285.714.300,00 ;3;1;1
123990;3;3;76120;814; $1.207.948.717.948.720,00 ;3;0;0
124010;100;1;6945;11; $6.710,00 ;3;1;1
124060;96;1;146249;793; $2.889.387.755.102.040,00 ;8;1;1
124070;187;1;61862;522; $2.248.181.818.181.820,00 ;3;1;1
124080;153;2;126313;675; $2.202,00 ;3;1;1
124100;253;2;38193;211; $24.584.615.384.615.400,00 ;28;1;1
124130;193;2;59083;261; $3.693.529.411.764.710,00 ;12;1;1
124140;189;2;24041;187; $2.016.153.846.153.850,00 ;1;1;1
